filePath,title,description,category,level,tier
D:/Videos Ready for Subscription 662025/Free Videos/intro.mp4,Introduction to Yoga for PE,Free introduction to the Yoga for PE program,free-videos,Beginner,bronze
D:/Videos Ready for Subscription 662025/Meditations/breathing.mp4,Mindful Breathing Meditation,Learn basic breathing techniques for yoga practice,meditation,Beginner,silver
D:/Videos Ready for Subscription 662025/Yoga for PE/sun-salutation.mp4,Sun Salutation Series,Complete guide to sun salutations for PE classes,yoga-for-pe,Intermediate,gold
D:/Videos Ready for Subscription 662025/Relaxations/deep-relaxation.mp4,Deep Relaxation Techniques,Relaxation methods for athletic recovery,relaxation,Intermediate,silver
D:/Videos Ready for Subscription 662025/Mindful Movement/mindful-walking.mp4,Mindful Walking Practice,Guided mindful walking exercise for students,mindful-movement,Beginner,silver
C:/path/to/videos/yoga1.mp4,Sun Salutation Basics for PE,A complete guide to teaching sun salutations in physical education classes. Perfect for warm-up routines.,yoga-for-pe,Beginner,bronze
C:/path/to/videos/relaxation1.mp4,Quick Classroom Relaxation Techniques,5-minute relaxation exercises that can be used at the beginning or end of PE classes to help students focus.,relaxation,Beginner,bronze
C:/path/to/videos/meditation2.mp4,Guided Meditation for Focus,Help students improve concentration with this guided meditation designed specifically for classroom settings.,meditation,Intermediate,silver
C:/path/to/videos/yoga2.mp4,Partner Yoga for Elementary PE,Fun partner poses that build trust and cooperation while developing balance and strength.,yoga-for-pe,Intermediate,silver
C:/path/to/videos/relaxation2.mp4,Progressive Muscle Relaxation for Athletes,Teach students how to release tension and prepare for athletic performance with this guided relaxation sequence.,relaxation,Intermediate,silver
C:/path/to/videos/meditation3.mp4,Advanced Visualization Techniques,Powerful visualization practices to enhance performance and mental focus for older students.,meditation,Advanced,gold
C:/path/to/videos/yoga3.mp4,Yoga for Athletic Performance,Specialized yoga sequences designed to improve athletic performance across various sports.,yoga-for-pe,Advanced,gold
C:/path/to/videos/relaxation3.mp4,Deep Relaxation and Recovery Protocols,Comprehensive relaxation techniques for post-activity recovery and stress management.,relaxation,Advanced,gold
